market,mean_funding
 Flash Sales ,18466666.67
 Flash Storage ,21519275
 Fleet Management ,47875000
 Food Processing ,64745750
 Forums ,6956000
 Franchises ,7000000
 Fraud Detection ,22366666.67
 Freelancers ,3233714.29
 Freemium ,130000
 FreetoPlay Gaming ,21885000
 Funeral Industry ,1250000
 Gambling ,3317211
 Game ,2240000
 Game Mechanics ,38055000
 Games ,9928428.93
 Gamification ,913400.1
 Gas ,400000
 Genetic Testing ,27614441
 Geospatial ,19850550
 Gift Card ,1180041.67
 Golf Equipment ,450000
 Google Apps ,35700000
 Google Glass ,100000
 Governance ,8000000
 Government Innovation ,6477500
 Governments ,2312500
 Gps ,6316005.14
 Graphics ,4032692
 Green ,5538833.33
 Green Consumer Goods ,7950000
 Groceries ,27400000
 Group Buying ,10515625
 Group SMS ,1500000
 Guides ,14175557.75
 Hardware ,31310107.81
 Hardware + Software ,15209429.46
 Health Care ,31155819.81
 Health Care Information Technology ,7458523.67
 Health and Insurance ,8529439.4
 Health and Wellness ,15740722.18
 Healthcare Services ,14839504.45
 Heavy Industry ,45299500
 Hedge Funds ,1580000
 High Schools ,4024000
 High Tech ,5700000
 Home & Garden ,26388290
 Home Automation ,13789729.5
 Home Decor ,19319978
 Home Owners ,22000
 Home Renovation ,361500
 Hospitality ,7885091.6
 Hospitals ,11669265.29
 Hotels ,13330071.35
 Human Computer Interaction ,11018106.5
 Human Resource Automation ,5872344
 Human Resources ,14976377.21
 Humanitarian ,5537500
 ICT ,0
 IT Management ,31675000
 IT and Cybersecurity ,6391666.67
 IaaS ,12701657.88
 Identity ,14661424.75
 Identity Management ,27784777.89
 Image Recognition ,5424500
 Incentives ,8182347.5
 Incubators ,0
 Indoor Positioning ,12613333.33
 Industrial ,1632000
 Industrial Automation ,1315250
 Industrial Energy Efficiency ,24656275
 Information Security ,23000180.71
 Information Services ,3685238.5
 Information Technology ,19730334.12
 Infrastructure ,34250000
 Innovation Engineering ,17489667.5
 Innovation Management ,2700000
 Insurance ,18240076.7
 Intellectual Asset Management ,0
 Intelligent Systems ,6076099.5
 Interest Graph ,1444125
 Interface Design ,3800000
 Interior Design ,5600000
 Internet ,79840585.3
 Internet Infrastructure ,5664000
 Internet Marketing ,6658396.05
 Internet Radio Market ,2500000
 Internet Service Providers ,18999999
 Internet TV ,3283290
 Internet Technology ,13485455
 Internet of Things ,12498096.82
 Investment Management ,63875000
 Jewelry ,7757500
 Journalism ,5330594.38
 K-12 Education ,678013.36
 Kids ,2960914.06
 Kinect ,850000
 Knowledge Management ,93750
 Language Learning ,8313750
 Law Enforcement ,2163571.43
 Lead Generation ,20306082.25
 Lead Management ,13555000
 Legal ,9437291.26
 Leisure ,7161666.67
 Licensing ,5856318.67
 Life Sciences ,16916450.2
 Lifestyle ,31699545.45
 Lifestyle Businesses ,1100000
 Lifestyle Products ,17000
 Lighting ,70250000
 Linux ,21640000
 Local ,10435451.92
 Local Advertising ,12757916.67
 Local Based Services ,3524000
 Local Businesses ,58384089.11
 Local Coupons ,140000
 Local Search ,5865655.62
 Location Based Services ,9256054.52
 Logistics ,2090416.67
 Logistics Company ,3860000
 Loyalty Programs ,16726566.62
 M2M ,5879855.75
 MMO Games ,9400000
 Mac ,3790000
 Machine Learning ,2807849.8
 Manufacturing ,15818958.34
 Maps ,9178436.5
 Market Research ,16511679.53
 Marketing Automation ,19415547.15
 Marketplaces ,3683655.27
 Mass Customization ,1348120.2
 Match-Making ,0
 Material Science ,5936662
 Mechanical Solutions ,0
 Media ,5325593.65
 Medical ,3623156.23
 Medical Devices ,31685708.28
 Medical Marijuana Patients ,137500
 Medical Professionals ,47767104
 Meeting Software ,4564374
 Messaging ,12147483.91
 MicroBlogging ,940000
 Mining Technologies ,1500000
 Mobile ,46791714.05
 Mobile Advertising ,11281875
 Mobile Analytics ,33333.33
 Mobile Commerce ,2436145.29
 Mobile Coupons ,4250000
 Mobile Devices ,9147558.62
 Mobile Emergency&Health ,290000
 Mobile Enterprise ,2717500
 Mobile Games ,17623674
 Mobile Health ,1468165
 Mobile Infrastructure ,18235300
 Mobile Payments ,13607337.48
 Mobile Security ,39585106.15
 Mobile Shopping ,4988333
 Mobile Social ,58000
 Mobile Software Tools ,12063332.71
 Mobile Video ,3933750
 Mobility ,4682840.88
 Monetization ,21067529.43
 Moneymaking ,100000
 Motion Capture ,421057
 Multi-level Marketing ,35000000
 Music ,6983143.32
 Music Services ,4259714.29
 Music Venues ,775000
 NFC ,256666.67
 Nanotechnology ,18834319.76
 Natural Resources ,692000
 Navigation ,37241470.2
 Network Security ,53161906.21
 Networking ,6943493.94
 Neuroscience ,41000000
 News ,7249955.2
 Nightclubs ,65000
 Non Profit ,10097400
 Nonprofits ,3881369
 Nutrition ,48750
 Office Space ,232500
 Offline Businesses ,16362500
 Oil ,120306666.7
 Oil & Gas ,59002316.4
 Oil and Gas ,288909224.3
 Online Dating ,1701500
 Online Gaming ,8482000
 Online Rental ,4653038.55
 Online Reservations ,990715.29
 Online Scheduling ,3855287.44
 Online Shopping ,12859966.29
 Online Travel ,1128750
 Online Video Advertising ,13302500
